data,datatype,sentiment
Czech Central Bank May Increase Interest Rates in Second Half,headline,neutral
MSCI Emerging Markets Index Falls from Peak Valuations,headline,neutral
Copper and Other Metals Prices Decline in New York,headline,negative
Gold and Crude Oil Prices Retreat in Commodity Markets,headline,negative
Japanese Finance Minister Signals Preference for Weaker Yen,headline,negative
U.S. Job Losses Expected to Halt for First Time Since 2007,headline,positive
U.S. Dollar Declines as Job Cuts Fuel Economic Recovery Concerns,headline,positive
Treasuries Rise Following Unexpected U.S. Job Losses,headline,neutral
U.S. Stocks Rally Amid Corporate Profit Optimism,headline,neutral
Dollar Index Drops 0.6 Percent Against Major Currencies,headline,negative
Treasury Yields Fall as Economic Recovery Remains Uncertain,headline,neutral
"S&P 500 Recovers Losses, Driven by UPS Profit Forecast and Alcoa Gains",headline,positive
"U.S. Job Market Contracts with 85,000 Jobs Lost in December",headline,positive
Fed's Rosengren Suggests High Unemployment Justifies Continued Low Interest Rates,headline,positive
"Wholesaler Inventories Surge, Hinting at Increased Orders and Sales",headline,positive
Fed Funds Futures Indicate Reduced Likelihood of Interest Rate Hike by June,headline,positive
Dollar Weakens Against Yen and Most-Traded Counterparts,headline,neutral
Two-Year Treasury Note Yields Experience Largest Drop Since December,headline,neutral
Yield Spread Between 2- and 10-Year Notes Nears Record Levels,headline,neutral
U.S. Prepares for Multiple Treasury Auctions in January,headline,neutral
S&P 500 Hits Highest Level Since October 2008,headline,neutral
"VIX Falls to 20-Month Low, Signaling Decreased Market Volatility",headline,negative
UPS Shares Surge After Profit Exceeds Estimates,headline,positive
Alcoa Shares Climb Ahead of Fourth-Quarter Earnings Report,headline,positive
U.S. Dollar Declines Amid Reduced Bets on Interest Rate Increase,headline,neutral
Treasury Two-Year Notes Gain as Rate Hike Expectations Diminish,headline,neutral
Dollar Index Falls to 76.962 Against Major Currencies,headline,negative
Copper and Gold Prices Rise as Dollar Weakens,headline,positive
S&P 500 Index Experiences Fluctuations Amid Mixed Market Signals,headline,neutral
Fed Futures Indicate Lower Expectations for Rate Hikes in June and August,headline,neutral
Treasury Yield Spread Hits Record as TIPS Auction Commences,headline,negative
Platinum Reaches 17-Month High Amid Precious Metals Uptick,headline,neutral
U.S. Consumer Shares Fall After Venezuelan Bolivar Devaluation,headline,neutral
Alcoa Inc. Rallies on Optimism for Fourth-Quarter Earnings,headline,positive
Citigroup Inc. Shares Climb Following Positive Comments from Prince Alwaleed,headline,positive
Russian Ruble and Stocks Surge as Oil Prices Exceed $83 a Barrel,headline,negative
European Shares Retreat from 15-Month High on Earnings Speculation,headline,neutral
S&P 500 Drops for First Time This Year Amid Economic Recovery Concerns,headline,negative
European Stocks Fall Sharply; Bonds Rally,headline,negative
Yields on 10-Year Treasuries and German Bunds Decline,headline,negative
Yen Strengthens Across Major Currencies; Crude Oil Prices Fall,headline,neutral
Alcoa Inc.'s Earnings Miss Analyst Estimates; Shares Tumble,headline,negative
Chevron Corp. Reports Lower Profitability; Stock Slips,headline,neutral
Intel Corp. and JPMorgan Chase & Co. Set to Report Earnings,headline,negative
Analysts Predict S&P 500 Companies' Profits Surged 62% in Fourth Quarter,headline,negative
MSCI World Index Drops; European Companies Norsk Hydro and Beiersdorf Fall,headline,negative
Air France-KLM Shares Decline Amid Japan Airlines Bankruptcy Speculation,headline,neutral
U.S. Sells $40 Billion in Three-Year Notes at Record-Tying Auction,headline,negative
"Credit-Default Swaps Index Rises, Indicating Lower Investor Confidence",headline,negative
MSCI Emerging Markets Index Falls; Bond Yields Rise on Reduced Indonesian Bond Sale,headline,neutral
U.S. and European Stocks Rise on Earnings Optimism and Analyst Upgrades,headline,positive
Crude Oil Prices Decline Below $80 a Barrel Amid Inventory Gains,headline,negative
Treasuries Fall as U.S. Economy Shows Improvement in Most Regions,headline,positive
Dollar Weakens Against Major Currencies as Bonds and Oil Retreat,headline,negative
Merck & Co. and Wyndham Worldwide Corp. Shares Surge on Buy Recommendations,headline,positive
MSCI Emerging Markets Index Drops as China Tightens Monetary Policy,headline,neutral
Shanghai Composite Index Experiences Largest Drop Since November,headline,negative
Pound Strengthens on Speculation of UK Interest Rate Hikes,headline,positive
Financial and Healthcare Sectors Lead Gains in S&P 500,headline,positive
Real Estate Companies Rally Following Analyst Upgrades,headline,positive
Google Inc. Considers Exiting China After Cyber Attack,headline,neutral
Foreign Central Banks Show Reduced Appetite for U.S. 10-Year Notes,headline,positive
"German GDP Contracts by 5% in 2009, Debt Auctions Continue in Europe",headline,positive
Infineon Technologies AG Rises on Goldman Sachs Recommendation,headline,positive
Societe Generale SA Shares Decline After Announcing Asset Writedowns and Provisions,headline,negative
U.S. Stocks Rise as Technology Shares Gain Ahead of Intel Earnings,headline,neutral
Unexpected Drop in Retail Sales Leads to Higher Treasury Prices,headline,neutral
Euro Declines as ECB President Trichet Highlights Uncertain Regional Outlook,headline,positive
ECB Shortlists Buch and Delgado for Eurozone Bank Watchdog Role,headline,positive
ECB Consumer Survey and Eurozone Producer Prices Scheduled for Release,headline,neutral
Euro Volatility Increases as Market Reacts to Data Reports,headline,neutral
"Eurozone Consumer Inflation Expectations Fall in May, ECB Reports",headline,neutral
Upcoming FOMC Minutes Expected to Reveal Debate on Hawkish Policy Stance,headline,neutral
U.S. Stocks and Commodities Fall as Dollar and Treasuries Rise,headline,negative
"JPMorgan Chase & Co. Retail Bank Reports Loss, Affecting Market Sentiment",headline,negative
"S&P 500 Drops 1.1 Percent, Moving Away from 15-Month High",headline,negative
"Dollar Strengthens Against Major Currencies, Euro Declines",headline,positive
JPMorgan Shares Decrease by 2.3 Percent After Quarterly Results,headline,neutral
ECB President Trichet's Comments Increase Concern Over Greek Debt,headline,negative
"Euro Weakens Against Yen and Pound, Dollar Index Rises",headline,neutral
MSCI Asia Pacific Index Reaches Highest Level Since August 2008,headline,negative
MSCI Emerging Markets Index Drops 0.3 Percent,headline,negative
Oil Prices Decline for Fifth Consecutive Day,headline,negative
Soybeans Mark Biggest Weekly Decline Since September,headline,neutral
Oil Prices Rise for First Time in Six Days Amid Demand Recovery Speculation,headline,negative
Copper Prices Increase on Positive Demand Outlook,headline,neutral
Global Stocks and British Pound Gain on Economic Optimism,headline,negative
UK House Prices Show Increase in Recent Survey,headline,negative
IMF's Strauss-Kahn Warns Against Early Withdrawal of Stimulus Packages,headline,negative
"Canadian S&P/TSX Composite Index Rises, Led by Energy Stocks",headline,positive
European Stocks Climb as Metals Prices Boost Basic-Resource Producers,headline,negative
"Brazil's Bovespa Index Up, Boosted by Petroleo Brasileiro SA",headline,positive
Pound Strengthens as UK House Prices Increase in January,headline,positive
MSCI Asia Pacific Index Falls After JPMorgan Chase Loss and US Consumer Confidence Miss,headline,negative
"U.S. Stocks Rise, Health Companies Lead Rally",headline,positive
Treasuries Fall for First Time in Three Days,headline,positive
Dollar Strengthens Against Major Trading Partners,headline,positive
S&P 500 Reaches 15-Month High,headline,positive
10-Year Treasury Yield Rises to 3.7 Percent,headline,positive
Dollar Index Rallies 0.5 Percent,headline,positive
"European Stocks Recover, Dow Jones Stoxx 600 Index Up",headline,positive
U.K. Inflation Rate Sees Record Increase,headline,positive
Oil Prices Rebound After Five-Day Decline,headline,positive
Health-Care Stocks Surge on U.S. Political Speculation,headline,positive
Merck & Co. and Pfizer Inc. Gain Over 2.6 Percent,headline,positive
"Technology Shares Advance, Ciena Corp. Surges 11 Percent",headline,positive
S&P 500 Earnings Expected to Increase 67 Percent in Q4,headline,positive
S&P 500 Valuations Reach Seven-Year High,headline,positive
MSCI World Index Companies Trade Near Highest P/E Since 2002,headline,positive
German Investor Confidence Falls More Than Expected,headline,positive
"British Pound Strengthens, U.K. Consumer Prices Up 2.9 Percent",headline,positive
U.K. Government Bonds Yield Rises After Inflation Report,headline,positive
Mitsubishi UFJ Financial Group Income from Lending May Slump,headline,negative
Shanghai Considers Allowing Individual Overseas Investments,headline,neutral
Copper Futures Rise on Strong Demand from China,headline,positive
Crude Oil Climbs as U.S. Equities Increase,headline,positive
U.S. Corporate Bond Default Swaps Index Reaches Two-Week High,headline,positive
S&P 500 Drops from 15-Month High Amid China Lending Concerns,headline,negative
Commodities Fall as Dollar and Treasuries Strengthen,headline,positive
"Morgan Stanley, CSX Corp., and IBM Quarterly Results Disappoint",headline,negative
Shanghai Composite Index Hits Year's Lowest Level; Bovespa Sees Major Drop,headline,negative
Dollar Rises Against All 16 Major Currencies,headline,positive
10-Year Treasury Yield Decreases to 3.66 Percent,headline,negative
Gold and Oil Prices Tumble by at Least 2 Percent,headline,negative
Liu Mingkang Announces Chinese Banks to Reduce Lending,headline,negative
Analysts' Forecasts for 67 Percent Profit Increase Questioned After Earnings Season,headline,negative
IBM and CSX Corp. Shares Fall Following Revenue Declines,headline,negative
Dollar Strengthens Significantly Against New Zealand Dollar,headline,neutral
Canadian Dollar Weakens After Consumer Prices Rise,headline,negative
Euro Hits Five-Month Low; Greek Bonds Yield Surge,headline,negative
IMF and European Commission Express Concern Over Greek Budget Deficit,headline,negative
Dow Jones Stoxx 600 Index Suffers Biggest Retreat Since December,headline,negative
Credit-Default Swaps Indicate Declining Investor Confidence,headline,negative
Petrobras Leads Decline in Brazilian Market Amid China Concerns,headline,negative
Crude Oil and Gold Futures Experience Significant Losses,headline,negative
Copper Futures Mark Largest Drop Since October,headline,negative
Energy and Raw-Materials Producers Lead S&P 500 Declines,headline,negative
S&P 500 and MSCI Emerging Markets Index Suffer Significant Losses,headline,negative
President Obama Proposes Bank Reforms to Limit Risk-Taking,headline,negative
Financial Sector Hit Hard by Obama's Proposed Banking Restrictions,headline,negative
U.S. Treasuries Rise as Investors Seek Safety Amidst Market Volatility,headline,negative
"Initial Jobless Claims Increase, Adding Pressure to U.S. Stock Market",headline,negative
Bank of America and JPMorgan Chase Lead Financials Index Downward,headline,negative
Analysts Predict S&P 500 Earnings Growth Despite Market Challenges,headline,negative
U.S. Dollar Strengthens Against Major Currencies Amidst Risk Aversion,headline,negative
"Gold, Aluminum, and Copper Prices Decline as Commodities Market Slips",headline,negative
Federal Reserve Bank of Philadelphia's Economic Index Falls Short of Expectations,headline,negative
"Interest-Rate Swap Spreads Widen, Reflecting Increased Market Caution",headline,negative
Credit-Default Swaps on Goldman Sachs and Morgan Stanley Rise Post-Reform Proposal,headline,negative
Emerging Market Equities Drop in Response to China's Accelerated Growth,headline,negative
Crude Oil Prices Fall as U.S. Gasoline Supplies Increase,headline,negative
European Shares Drop Following U.S. Market Decline,headline,negative
Global Stocks and Commodities Decline Amid Obama's Banking Proposal and China's Rate Hike Concerns,headline,negative
"S&P 500 Suffers 5.1% Three-Day Plunge, Largest Since March Low",headline,negative
European Bank Stocks Hit Six-Month Low as Dow Jones Stoxx 600 Banks Index Drops 1.9%,headline,negative
"MSCI Emerging Markets Index Records 4.7% Weekly Loss, Largest Since October",headline,negative
U.S. Treasury Yields See Slight Increase Despite Weekly Gain,headline,neutral
Financial Sector Earnings Recovery Threatened by Obama's Banking Plan,headline,negative
Uncertainty Over Bernanke's Fed Chair Reconfirmation Adds to Market Losses,headline,negative
S&P 500 and Dow Jones Erase 2010 Gains Amid Market Sell-Off,headline,negative
VIX Index Witnesses Largest Three-Day Surge Since 2007,headline,positive
JPMorgan Chase & Co. and Bank of America Corp. Shares Tumble Over 3.4%,headline,negative
Analysts Predict 114% Earnings Increase for Financial Companies in Q4,headline,negative
MSCI World Index Marks Longest Losing Streak in Over a Month,headline,negative
U.S. Dollar Weakens Against Euro and Yen After Recent Gains,headline,negative
"Corporate Bond Rally Stalls, Borrowing Costs Rise from Two-Year Lows",headline,neutral
Credit-Default Swaps Indicate Increased Concern Over U.S. Corporate Defaults,headline,negative
"Emerging Market Stocks Drop, Led by Kazakhstan's KASE Index",headline,negative
Shanghai Composite Index Down 4.5% for the Year,headline,negative
"Crude Oil Prices Hit One-Month Low, Gold Futures Fall 1.2%",headline,negative
U.S. Stocks Rise Amid Investor Confidence in Bernanke's Reconfirmation as Fed Chair,headline,positive
Yen and Dollar Weaken as Investors Shift to Higher-Yielding Currencies,headline,negative
Two-Year Treasury Yields Increase as Notes Retreat,headline,positive
S&P 500 Recovers from Largest Three-Day Decline Since March,headline,positive
Hang Seng Index Enters Correction Territory with 10 Percent Loss Since November,headline,neutral
Goldman Sachs and Wells Fargo Shares Climb; AK Steel Surges on Profit Beat,headline,positive
Bank of Japan Considers Expanding Loan Program and Government Debt Purchases,headline,positive
U.S. Corporate Bond Default Swaps Hold Near Six-Week High,headline,positive
U.S. Economy Projected to Have Grown at Fastest Rate in Four Years,headline,positive
Ericsson AB Profit Plummets by 92 Percent,headline,neutral
Royal Philips Electronics NV Posts Third Consecutive Quarterly Profit,headline,positive
Asian Shares Fall; Bank of China and Honda Motor Co. Shares Decline,headline,neutral
MSCI Emerging Markets Index Drops Below One-Month Low,headline,positive
Copper and Precious Metals Prices Rise in Commodity Markets,headline,positive
Crude Oil Rebounds Above $75 a Barrel as Equities Recover,headline,positive
Stocks and Commodities Fall as Dollar and Treasuries Rise,headline,neutral
S&P 500 Drops 0.4 Percent Amid Economic Concerns,headline,negative
MSCI Asia-Pacific Index Declines for Seventh Consecutive Day,headline,negative
U.S. Treasury Yields Near Yearly Low After $44 Billion Auction,headline,negative
Standard & Poor's Lowers Outlook on Japan's Credit Rating,headline,negative
Verizon Shares Fall 1.7 Percent on Disappointing Quarterly Results,headline,negative
"U.S. Consumer Confidence Rises, Exceeding Bloomberg Survey Estimates",headline,negative
Apple and Travelers Stocks Up After Surpassing Quarterly Expectations,headline,positive
Federal Reserve Expected to Maintain Interest Rates Near Zero,headline,negative
S&P 500 Earnings Slump Ends with Projected 73 Percent Profit Increase,headline,negative
European Governments Face 2.2 Trillion Euro Borrowing in 2010,headline,negative
IMF Raises Global Economic Growth Forecast to 3.9 Percent,headline,neutral
Emerging Markets Index Falls; Brazil's Bovespa Down 1.1 Percent,headline,negative
South Korean Won Leads Currency Declines Against Strengthening Dollar,headline,negative
Two-Year Treasury Auction Yields Near Record Low,headline,neutral
Crude Oil and Copper Prices Retreat Amid China's Economic Measures,headline,negative
U.S. Stocks Rise as Fed Commits to Low Interest Rates,headline,positive
Global Equities Fall for Sixth Consecutive Day,headline,neutral
Oil Prices Drop to Five-Week Low,headline,negative
Yen Weakens Against Major Currencies,headline,negative
Dollar Strengthens Amidst Global Financial Concerns,headline,positive
Fed Plans to End Mortgage-Backed Securities Purchase Program in March,headline,positive
Caterpillar Inc. Shares Fall After Profit Forecast Misses Estimates,headline,negative
S&P 500 Ends Earnings Slump with 73% Profit Increase,headline,positive
U.S. New-Home Purchases Decline to Lowest Since March,headline,positive
Analysts Anticipate Central Banks in Emerging Markets to Raise Interest Rates,headline,neutral
Credit Risk Increases as Investors Seek Protection Against Sovereign Defaults,headline,neutral
Gasoline Supplies Reach Highest Level Since March 2008,headline,negative
"European Financial Shares Retreat, Leading Stoxx 600 Index Lower",headline,neutral
Asian Stocks Experience Longest Losing Streak Since May 2005,headline,neutral
Emerging Markets Index Continues Slump Amidst Lending Curbs and Rate Hike Speculations,headline,neutral
U.S. Stocks Decline as Qualcomm's Forecast Disappoints Investors,headline,negative
Dollar and Short-Term Treasuries Rise on Safety Demand,headline,positive
"S&P 500 Hits Lowest Since November, Dow Jones Stoxx 600 Falls",headline,negative
Dollar Index Reaches Five-Month High Against Major Counterparts,headline,positive
Copper Prices Experience Biggest Three-Day Slump in 13 Months,headline,negative
"Global Economy Remains Fragile, Earnings Picture Mixed",headline,negative
MSCI World Index Declines for Seventh Consecutive Day,headline,negative
"Euro Weakens Against Major Currencies, Hits Six-Month Low Versus Dollar",headline,negative
Obama's State of the Union Address Fails to Lift Market Sentiment,headline,negative
S&P 500's Biggest Three-Day Tumble Since March 2009,headline,negative
Senate Moves Closer to Voting on Bernanke's Confirmation,headline,negative
Apple Inc. Shares Fall Post-iPad Launch Amid Criticism,headline,negative
"UK's FTSE 100 Index Drops, Banks No Longer Among Lowest-Risk",headline,negative
Credit Risk Gauges in U.S. and Europe Reach Seven-Week High,headline,negative
China and U.S. Demand Concerns Drive Down Commodity Prices,headline,negative
Gold Prices Remain Steady Despite Market Volatility,headline,neutral
U.S. Stocks Decline as Dollar and Treasuries Gain Amid Tech Earnings Concerns,headline,neutral
Technology Shares Drop Following Microsoft and SanDisk Earnings Reports,headline,negative
"U.S. Economy Grows at Fastest Pace in Six Years, Surpassing Estimates",headline,negative
Oil Prices Fall for Fourth Consecutive Day as Dollar Strengthens,headline,neutral
"Dollar Index Reaches Six-Month High, Affecting Commodity Demand",headline,positive
Consumer Confidence and Business Barometer Exceed Expectations,headline,negative
Copper and Crude Oil Prices Dip Amidst Dollar Rally,headline,neutral
Asian Shares Fall; AU Optronics and Advantest Corp. Report Losses,headline,negative
European Stocks Rally; BMW Predicts Profit and Sales Growth,headline,positive
S&P 500 Experiences Biggest Monthly Loss Since Last February,headline,negative
Corporate Bonds Outperform Stocks Amidst Global Recovery Concerns,headline,negative
Investors Favor Corporate Bonds Over Equities as Recovery Slows,headline,negative
Corporate Borrowing Costs Decrease as Investors Seek Safer Options,headline,negative
U.S. Stocks Rebound as Global Economic Recovery Appears to Accelerate,headline,positive
Treasuries Fall While Euro Strengthens Against Dollar and Yen,headline,positive
Exxon Mobil Corp. Leads S&P 500 Gains After Beating Profit Estimates,headline,positive
Manufacturing Reports Indicate Strongest U.S. Economic Expansion Since August 2004,headline,positive
S&P 500 Ends Nine-Quarter Earnings Slump with 76 Percent Profit Increase,headline,positive
Citigroup Inc. Shares Rally on Plans to Sell or Split Off Private Equity Unit,headline,positive
MSCI World Index Rises After Prolonged Decline Amid Asian Market Concerns,headline,positive
Ryanair Holdings Plc Shares Surge as Company Raises Profit Forecast,headline,positive
"U.S. Corporate Bond Default Risk Decreases, Signaling Investor Confidence",headline,positive
"U.S. Manufacturing Growth Hits Five-Year High, Leading Economic Recovery",headline,positive
European Factory Output Growth Exceeds Forecasts,headline,positive
Commodities Rally with Crude Oil and Gold Prices Increasing,headline,positive
U.S. Treasuries Drop as Obama's Budget Forecasts Record Deficit,headline,positive
Euro Recovers from Seven-Month Low; Zloty and Rand Strengthen,headline,positive
South African Manufacturing Index Reaches 21-Month High,headline,positive
Stocks and Commodities Rise Amid Global Economic Optimism,headline,positive
Dollar Weakens as Demand for Raw Materials Increases,headline,neutral
Oil Prices Surge 3.8% in Four Months,headline,positive
Aluminum Prices Climb 1.7%,headline,positive
MSCI World Index Commodity Producers Jump 2%,headline,positive
Brazil's Real Strengthens Against Major Currencies,headline,positive
S&P 500 Index Rallies 2.7% Over Two Days,headline,positive
Alcoa and Rio Tinto Shares Surge on Higher Metal Price Prospects,headline,positive
U.S. Homebuilders Index Advances as D.R. Horton Reports Profit,headline,positive
S&P 500 Companies End Earnings Slump with 76% Profit Increase,headline,positive
European Stocks Rise for Third Consecutive Day,headline,positive
MSCI Emerging Markets Index Gains for Second Day,headline,positive
Treasury Yields Hold Steady Before U.S. Jobs Report,headline,positive
Moodys Affirms Stable Outlook for U.S. Aaa Credit Rating,headline,positive
Australian Dollar Drops After Reserve Bank Holds Interest Rate,headline,positive
European Central Bank and Bank of England Expected to Maintain Rates,headline,positive
Canon and Toyota Shares Climb in Tokyo Stock Market,headline,negative
Toyota to Resume Production After Recall Fix,headline,negative
U.S. and European Stocks Decline Amid Disappointing Corporate Results,headline,negative
"Dollar Index Rises, Emerging Markets Strengthen",headline,neutral
"S&P 500 Falls 0.6 Percent, Breaking Two-Day Rally",headline,negative
Industrial Metals Prices Drop as Dollar Strengthens,headline,neutral
U.S. Service Industry Growth Slower Than Expected,headline,negative
Asian Markets Rally; Shanghai and Sensex Indices See Major Gains,headline,positive
Esprit Holdings Ltd. Shares Surge on Strong Profit Report,headline,positive
S&P 500 Companies Expected to End Nine-Quarter Profit Slump,headline,negative
"U.S. Job Cuts Continue with 22,000 Lost in January",headline,negative
Electrolux AB Shares Plunge After Earnings Miss Estimates,headline,negative
North American Corporate Credit Risk Declines,headline,neutral
Crude Oil Prices Dip on Unexpected Inventory Build-Up,headline,neutral
Dollar Strengthens Against Euro and Yen,headline,negative
Global Stocks and Commodities Plunge Amid U.S. Jobless Claims Increase,headline,negative
MSCI World Index Experiences Largest Drop in Nine Months,headline,negative
"S&P 500 Index Falls 3.1%, Biggest Decline Since April",headline,negative
Portugal and Spain Stock Indexes Suffer Largest Plunge in 15 Months,headline,negative
Oil and Gold Prices Tumble as Dollar Strengthens,headline,negative
"U.S. Jobless Claims Rise to 480,000, Exceeding Analyst Estimates",headline,negative
"Dow Jones Industrial Average Falls Below 10,000 for First Time Since November",headline,negative
Monster Worldwide Inc. and MasterCard Stocks Take Major Hits,headline,negative
Brazil's Bovespa Index Drops 4.7% with All Companies Declining,headline,negative
U.S. Treasuries Rally as Investors Seek Safe Assets,headline,negative
Berkshire Hathaway Loses Last AAA Credit Rating Post Burlington Northern Acquisition,headline,negative
European Stocks Decline Sharply; Stoxx 600 Index Down 2.7%,headline,negative
"Spain's Bond Auction Yields Rise, Indicating Increased Funding Concerns",headline,negative
Credit-Default Swaps on European Government Debt Reach New Highs,headline,negative
ECB President Trichet Expresses Confidence in Greece's Deficit Reduction,headline,negative
MSCI Emerging Markets Index Ends Three-Day Rally with 2.7% Drop,headline,negative
Dollar Rallies Against Major Counterparts Amid Market Turmoil,headline,positive
Yen Strengthens as Investors Unwind Carry Trades,headline,neutral
Gold Futures Experience Largest Decline Since 2008,headline,negative
"Crude Oil Prices Fall 5%, Largest Drop Since July",headline,negative
Copper and Other Metals Prices Decline in Commodity Market Slump,headline,negative
"U.S. Stocks Recover in Final Hour, Dow Erases 167-Point Drop",headline,neutral
"Oil, Gold, and Copper Rebound in Electronic Trading",headline,negative
U.S. Dollar Index Gains Moderately Amid Market Volatility,headline,neutral
U.S. Jobless Rate Drops to Five-Month Low of 9.7 Percent,headline,neutral
European Central Bank President Comments on Euro Area's Solid Economy,headline,negative
"Cisco, Intel, and Alcoa Lead Gains in Dow Jones Industrial Average",headline,positive
S&P 500 Falls for Fourth Consecutive Week,headline,neutral
European Stocks Extend Weekly Slump Amid Deficit Concerns,headline,negative
BHP Billiton Ltd. and Rio Tinto Group Affected by Metals Slump,headline,positive
"Emerging Markets Experience Retreat, Brazil's Bovespa Index Down",headline,negative
BES Investimento do Brasil Cancels International Bond Offering,headline,neutral
Berkshire Hathaway Sells $8 Billion of Notes for Burlington Northern Acquisition,headline,positive
"Oil, Gold, and Copper Prices Rebound With U.S. Stock Recovery",headline,negative
Euro Hits One-Year Low Against Yen Amid European Deficit Concerns,headline,negative
"Dollar Strengthens Against Yen, Euro Weakens to Eight-Month Low",headline,negative
Global Stocks Fall Amid European Government Funding Concerns,headline,neutral
Industrial Metals Rally After Previous Week's Decline,headline,negative
Commodity Producer Currencies Strengthen,headline,neutral
"Dow Jones Industrial Average Closes Below 10,000",headline,negative
S&P GSCI Commodity Index Posts First Gain in Four Days,headline,negative
South African Rand Rises Against Major Currencies,headline,neutral
European Stocks Rebound Led by Food and Mining Sectors,headline,negative
Copper and Other Metals Prices Rebound in New York,headline,positive
Crude Oil and Gold Prices Advance,headline,positive
"U.S. Dollar Weakens, Breaking Four-Day Gain Streak",headline,negative
UK Pound Declines as Election Uncertainty Grows,headline,negative
Corporate Credit Risk Reaches Two-Month High,headline,negative
U.S. Treasury Sales of $81 Billion Offset European Default Concerns,headline,neutral
Global Equities and Euro Rally Amid Greek Aid Speculation,headline,positive
"S&P 500 Rises 1.3%, Recovers from Previous Losses",headline,positive
MSCI Emerging Markets Index Gains After Recent Decline,headline,positive
